City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tubuala,PA,2022-05-25 20:45:07,9.5167,-79.0333,82.47,80,100,2.86
68,Thompson,CA,2022-05-25 20:45:07,55.7435,-97.8558,55.56,38,75,8.05
69,Kodiak,US,2022-05-25 20:45:08,57.79,-152.4072,51.31,71,100,8.05
70,Miandrivazo,MG,2022-05-25 20:45:08,-19.5167,45.4667,70.63,87,0,1.34
71,Ponta Do Sol,PT,2022-05-25 20:43:00,32.6667,-17.1,68.72,68,100,4.83
72,Banda Aceh,ID,2022-05-25 20:45:13,5.5577,95.3222,79.97,77,96,6.11
73,Nikolskoye,RU,2022-05-25 20:45:14,59.7035,30.7861,48.09,69,77,4.79
74,Tiksi,RU,2022-05-25 20:45:15,71.6872,128.8694,22.03,91,100,8.12
75,Katsuura,JP,2022-05-25 20:45:15,35.1333,140.3,66.6,80,23,4.92
76,Rikitea,PF,2022-05-25 20:45:16,-23.1203,-134.9692,74.93,76,24,5.82
77,Cape Town,ZA,2022-05-25 20:45:16,-33.9258,18.4232,62.11,94,75,10.36
78,Barrow,US,2022-05-25 20:45:17,71.2906,-156.7887,33.82,86,40,16.11
79,Pitimbu,BR,2022-05-25 20:45:17,-7.4706,-34.8086,75.79,85,100,10.89
80,Atasu,KZ,2022-05-25 20:45:18,48.6814,71.6433,64.83,36,0,3.42
81,Sorland,NO,2022-05-25 20:45:18,67.667,12.6934,48.06,87,97,19.86
82,Poli,TZ,2022-05-25 20:45:19,-3.3333,36.8,62.87,90,97,4.9
83,Mareeba,AU,2022-05-25 20:45:19,-17.0,145.4333,65.44,91,21,2.19
84,Manokwari,ID,2022-05-25 20:45:19,-0.8667,134.0833,77.56,80,100,3.76
85,Tahoua,NE,2022-05-25 20:45:20,14.8888,5.2692,91.63,14,39,8.84
86,New Norfolk,AU,2022-05-25 20:45:21,-42.7826,147.0587,45.91,87,32,2.95
87,Vaitape,PF,2022-05-25 20:45:21,-16.5167,-151.75,80.49,66,6,12.84
88,Yagodnoye,RU,2022-05-25 20:46:22,62.55,149.6667,37.81,95,100,1.54
89,Dingle,PH,2022-05-25 20:46:22,10.9995,122.6711,77.92,87,99,2.44
90,Carnarvon,AU,2022-05-25 20:46:22,-24.8667,113.6333,71.11,63,100,7.34
91,Salalah,OM,2022-05-25 20:43:59,17.0151,54.0924,84.29,79,20,4.61
92,Lompoc,US,2022-05-25 20:45:03,34.6391,-120.4579,76.51,59,0,12.66
93,Cidreira,BR,2022-05-25 20:46:23,-30.1811,-50.2056,66.25,85,8,8.93
94,Ribeira Grande,PT,2022-05-25 20:46:24,38.5167,-28.7,64.8,77,75,9.22
95,Aklavik,CA,2022-05-25 20:46:24,68.2191,-135.0107,46.2,59,72,1.25
96,Geraldton,AU,2022-05-25 20:46:25,-28.7667,114.6,61.21,77,100,8.05
97,Atuona,PF,2022-05-25 20:46:25,-9.8,-139.0333,78.46,76,20,18.63
98,Qaanaaq,GL,2022-05-25 20:46:25,77.484,-69.3632,20.64,82,50,4.88
99,Castro,BR,2022-05-25 20:46:26,-24.7911,-50.0119,58.28,71,0,4.83
100,Shimanovsk,RU,2022-05-25 20:46:26,52.0,127.7,56.75,57,48,6.35
101,Sinnamary,GF,2022-05-25 20:46:27,5.3833,-52.95,80.94,79,16,9.26
102,Hailar,CN,2022-05-25 20:46:27,49.2,119.7,54.57,40,100,1.16
103,Ingraj Bazar,IN,2022-05-25 20:46:28,25.0,88.15,81.9,64,2,3.33
104,Bandrele,YT,2022-05-25 20:46:28,-12.9067,45.1914,78.55,83,0,5.75
105,Zhigansk,RU,2022-05-25 20:46:28,66.7697,123.3711,31.96,82,38,22.82
106,Princeton,US,2022-05-25 20:45:10,25.5384,-80.4089,87.8,65,40,17.27
107,Kaitangata,NZ,2022-05-25 20:46:29,-46.2817,169.8464,39.47,83,92,7.72
108,Zhangjiakou,CN,2022-05-25 20:46:29,40.81,114.8794,56.53,26,0,4.21
109,Susanino,RU,2022-05-25 20:46:30,58.1461,41.5872,36.1,94,78,5.46
110,Dapdap,PH,2022-05-25 20:46:30,12.062,125.4881,80.11,84,99,4.99
111,Urumqi,CN,2022-05-25 20:46:31,43.801,87.6005,77.95,34,0,4.47
112,Udachnyy,RU,2022-05-25 20:46:31,66.4167,112.4,35.46,80,98,14.52
113,Pisco,PE,2022-05-25 20:46:31,-13.7,-76.2167,68.05,68,0,6.91
114,Chegdomyn,RU,2022-05-25 20:46:32,51.1167,133.0167,49.93,69,82,0.74
115,Junction City,US,2022-05-25 20:46:32,39.0286,-96.8314,55.56,95,100,17.27
116,Guadalajara,MX,2022-05-25 20:45:41,20.6667,-103.3333,90.99,6,6,1.99
117,Lata,PT,2022-05-25 20:46:33,40.1629,-8.3327,55.0,89,50,1.95
118,Grand Gaube,MU,2022-05-25 20:46:34,-20.0064,57.6608,71.38,77,23,3.0
119,Kosonsoy,UZ,2022-05-25 20:46:34,41.2561,71.5508,66.76,36,0,7.81
120,Njombe,TZ,2022-05-25 20:46:35,-9.3333,34.7667,56.21,91,99,4.54
121,Bengkulu,ID,2022-05-25 20:46:35,-3.8004,102.2655,74.53,84,100,3.83
122,Saldanha,ZA,2022-05-25 20:46:35,-33.0117,17.9442,60.85,89,0,5.03
123,Lasa,IT,2022-05-25 20:46:36,46.6166,10.7002,59.88,91,71,2.91
124,Iwanai,JP,2022-05-25 20:46:36,42.9744,140.5089,61.57,71,9,5.86
125,Bambous Virieux,MU,2022-05-25 20:46:37,-20.3428,57.7575,71.22,88,40,5.75
126,Georgetown,MY,2022-05-25 20:42:16,5.4112,100.3354,78.73,93,20,2.3
127,Evensk,RU,2022-05-25 20:46:37,61.95,159.2333,40.01,87,100,1.74
128,Araouane,ML,2022-05-25 20:46:38,18.9048,-3.5265,86.61,37,92,11.88
129,Ugoofaaru,MV,2022-05-25 20:46:38,5.6667,73.0,81.7,80,100,12.3
130,Chaltyr,RU,2022-05-25 20:46:39,47.2848,39.4823,59.38,81,30,4.23
131,Lucea,JM,2022-05-25 20:46:40,18.451,-78.1736,85.86,76,47,13.0
